HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Input.objects_to_find,Answer.annotation_data,Approve
3XDJY5RK5TY7VBBHOMVM2ZWI6SEU4W,3IF0VZGELQT5RHWAAA7NYHRQAWR7MW,Find the Face,"Find the target face in the crowd. This is a variation of ""Where's Waldo?""","image, tag, picture, tagging, photo, different",$0.02 ,Sun Dec 16 16:25:35 PST 2018,100,BatchId:3476379;OriginalHitTemplateId:862366346;,300,259200,Tue Dec 25 21:04:49 PST 2018,,30H4UDGLT4VDUFQL361Q27L5VI9MP9,A1QUOTZEN3BNVF,Approved,Mon Dec 17 07:23:58 PST 2018,Mon Dec 17 07:24:42 PST 2018,Thu Dec 20 07:24:42 PST 2018,2018-12-20 15:25:12 UTC,,44,100% (10/10),100% (10/10),0% (0/0),https://i.imgur.com/h3ZoVii.jpg,target face,"[{""left"":608,""top"":496,""width"":21,""height"":30,""label"":""face""}]",
3XDJY5RK5TY7VBBHOMVM2ZWI6SEU4W,3IF0VZGELQT5RHWAAA7NYHRQAWR7MW,Find the Face,"Find the target face in the crowd. This is a variation of ""Where's Waldo?""","image, tag, picture, tagging, photo, different",$0.02 ,Sun Dec 16 16:25:35 PST 2018,100,BatchId:3476379;OriginalHitTemplateId:862366346;,300,259200,Tue Dec 25 21:04:49 PST 2018,,30OG32W0SWOFF6MV6T0FLAB1M1PNEX,A17J6LELCPDWAP,Approved,Mon Dec 17 07:42:01 PST 2018,Mon Dec 17 07:42:07 PST 2018,Thu Dec 20 07:42:07 PST 2018,2018-12-20 15:42:12 UTC,,6,100% (10/10),100% (10/10),0% (0/0),https://i.imgur.com/h3ZoVii.jpg,target face,"[{""left"":611,""top"":494,""width"":20,""height"":34,""label"":""face""}]",
3XDJY5RK5TY7VBBHOMVM2ZWI6SEU4W,3IF0VZGELQT5RHWAAA7NYHRQAWR7MW,Find the Face,"Find the target face in the crowd. This is a variation of ""Where's Waldo?""","image, tag, picture, tagging, photo, different",$0.02 ,Sun Dec 16 16:25:35 PST 2018,100,BatchId:3476379;OriginalHitTemplateId:862366346;,300,259200,Tue Dec 25 21:04:49 PST 2018,,30X31N5D653956XOYKFFOLVGOQTSAN,A2VPB8CKKJAZC2,Approved,Mon Dec 17 19:19:03 PST 2018,Mon Dec 17 19:19:15 PST 2018,Thu Dec 20 19:19:15 PST 2018,2018-12-21 03:20:12 UTC,,12,100% (8/8),100% (8/8),0% (0/0),https://i.imgur.com/h3ZoVii.jpg,target face,"[{""left"":609,""top"":499,""width"":20,""height"":26,""label"":""face""}]",
3XDJY5RK5TY7VBBHOMVM2ZWI6SEU4W,3IF0VZGELQT5RHWAAA7NYHRQAWR7MW,Find the Face,"Find the target face in the crowd. This is a variation of ""Where's Waldo?""","image, tag, picture, tagging, photo, different",$0.02 ,Sun Dec 16 16:25:35 PST 2018,100,BatchId:3476379;OriginalHitTemplateId:862366346;,300,259200,Tue Dec 25 21:04:49 PST 2018,,3137ONMDKII95E59JPNKVQ24MG1GEZ,A3RS7SJNTCY4OE,Approved,Thu Dec 20 23:15:26 PST 2018,Thu Dec 20 23:15:49 PST 2018,Sun Dec 23 23:15:49 PST 2018,2018-12-24 07:16:12 UTC,,23,100% (4/4),100% (4/4),0% (0/0),https://i.imgur.com/h3ZoVii.jpg,target face,"[{""left"":607,""top"":496,""width"":20,""height"":28,""label"":""face""}]",
3XDJY5RK5TY7VBBHOMVM2ZWI6SEU4W,3IF0VZGELQT5RHWAAA7NYHRQAWR7MW,Find the Face,"Find the target face in the crowd. This is a variation of ""Where's Waldo?""","image, tag, picture, tagging, photo, different",$0.02 ,Sun Dec 16 16:25:35 PST 2018,100,BatchId:3476379;OriginalHitTemplateId:862366346;,300,259200,Tue Dec 25 21:04:49 PST 2018,,31HQ4X3T3UNQ1POSVB45XZBRIZ3LS3,A2H7I6JCJL31K1,Approved,Mon Dec 17 09:03:06 PST 2018,Mon Dec 17 09:03:19 PST 2018,Thu Dec 20 09:03:19 PST 2018,2018-12-20 17:04:12 UTC,,13,100% (6/6),100% (6/6),0% (0/0),https://i.imgur.com/h3ZoVii.jpg,target face,"[{""left"":605,""top"":497,""width"":26,""height"":29,""label"":""face""}]",
3XDJY5RK5TY7VBBHOMVM2ZWI6SEU4W,3IF0VZGELQT5RHWAAA7NYHRQAWR7MW,Find the Face,"Find the target face in the crowd. This is a variation of ""Where's Waldo?""","image, tag, picture, tagging, photo, different",$0.02 ,Sun Dec 16 16:25:35 PST 2018,100,BatchId:3476379;OriginalHitTemplateId:862366346;,300,259200,Tue Dec 25 21:04:49 PST 2018,,31T4R4OBOUTBFNAUUVDVZPP82297C0,A2DKE3NCEA5W79,Approved,Fri Dec 21 00:05:10 PST 2018,Fri Dec 21 00:05:32 PST 2018,Mon Dec 24 00:05:32 PST 2018,2018-12-24 08:06:12 UTC,,22,100% (9/9),100% (9/9),0% (0/0),https://i.imgur.com/h3ZoVii.jpg,target face,"[{""left"":604,""top"":495,""width"":21,""height"":26,""label"":""face""}]",
3XDJY5RK5TY7VBBHOMVM2ZWI6SEU4W,3IF0VZGELQT5RHWAAA7NYHRQAWR7MW,Find the Face,"Find the target face in the crowd. This is a variation of ""Where's Waldo?""","image, tag, picture, tagging, photo, different",$0.02 ,Sun Dec 16 16:25:35 PST 2018,100,BatchId:3476379;OriginalHitTemplateId:862366346;,300,259200,Tue Dec 25 21:04:49 PST 2018,,32AT8R96GNMTKFBM4PW6OM7AVVWUSG,A2C0QNEIOSKAV5,Approved,Mon Dec 17 22:15:04 PST 2018,Mon Dec 17 22:15:32 PST 2018,Thu Dec 20 22:15:32 PST 2018,2018-12-21 06:16:13 UTC,,28,100% (8/8),100% (8/8),0% (0/0),https://i.imgur.com/h3ZoVii.jpg,target face,"[{""left"":674,""top"":497,""width"":29,""height"":39,""label"":""face""}]",
3XDJY5RK5TY7VBBHOMVM2ZWI6SEU4W,3IF0VZGELQT5RHWAAA7NYHRQAWR7MW,Find the Face,"Find the target face in the crowd. This is a variation of ""Where's Waldo?""","image, tag, picture, tagging, photo, different",$0.02 ,Sun Dec 16 16:25:35 PST 2018,100,BatchId:3476379;OriginalHitTemplateId:862366346;,300,259200,Tue Dec 25 21:04:49 PST 2018,,32Q90QCQ1UYE701S9G8ZTIUXS3REKK,A289DF24X3Q8JZ,Approved,Sun Dec 16 19:04:46 PST 2018,Sun Dec 16 19:04:58 PST 2018,Wed Dec 19 19:04:58 PST 2018,2018-12-20 03:05:12 UTC,,12,100% (5/5),100% (5/5),0% (0/0),https://i.imgur.com/h3ZoVii.jpg,target face,"[{""left"":609,""top"":499,""width"":16,""height"":18,""label"":""face""}]",
3XDJY5RK5TY7VBBHOMVM2ZWI6SEU4W,3IF0VZGELQT5RHWAAA7NYHRQAWR7MW,Find the Face,"Find the target face in the crowd. This is a variation of ""Where's Waldo?""","image, tag, picture, tagging, photo, different",$0.02 ,Sun Dec 16 16:25:35 PST 2018,100,BatchId:3476379;OriginalHitTemplateId:862366346;,300,259200,Tue Dec 25 21:04:49 PST 2018,,32ZKVD547H0A4ZH1EJEABO7AETU3BI,A2PYZDFLMB8RN6,Approved,Mon Dec 17 20:23:25 PST 2018,Mon Dec 17 20:23:41 PST 2018,Thu Dec 20 20:23:41 PST 2018,2018-12-21 04:24:13 UTC,,16,100% (10/10),100% (10/10),0% (0/0),https://i.imgur.com/h3ZoVii.jpg,target face,"[{""left"":603,""top"":499,""width"":23,""height"":23,""label"":""face""}]",
3XDJY5RK5TY7VBBHOMVM2ZWI6SEU4W,3IF0VZGELQT5RHWAAA7NYHRQAWR7MW,Find the Face,"Find the target face in the crowd. This is a variation of ""Where's Waldo?""","image, tag, picture, tagging, photo, different",$0.02 ,Sun Dec 16 16:25:35 PST 2018,100,BatchId:3476379;OriginalHitTemplateId:862366346;,300,259200,Tue Dec 25 21:04:49 PST 2018,,337RC3OW07F6TH5WP69A8MVYHBQVLR,AHBEBTY41ZW52,Approved,Tue Dec 18 09:12:35 PST 2018,Tue Dec 18 09:12:46 PST 2018,Fri Dec 21 09:12:46 PST 2018,2018-12-21 17:13:12 UTC,,11,100% (10/10),100% (10/10),0% (0/0),https://i.imgur.com/h3ZoVii.jpg,target face,"[{""left"":596,""top"":496,""width"":49,""height"":33,""label"":""face""}]",
